Designator,Footprint,Quantity,Value,LCSC Part #
C1,0201,1,68pf 10v,
"C10, C11, C12, C13, C14, C21, C27, C28, C35, C36, C37, C38, C40, C41, C42, C43, C44, C45, C47, C48, C5, C6, C7, C8",0402,24,22uF 10v,
"C15, C2",0805,2,4.7uF 1mOhm 25v,
C16,CP_Elec_10x10.5,1,470uF 35V,
C17,0603,1,4.7uF 1mOhm,
C18,0201,1,2.2nF 0Ohm,
C19,0805,1,4.7uF 1mOhm,
C20,0201,1,6.8nf 10v,
C22,0402,1,100nf 280mOhm,
C23,1210,1,47uF 3mOhm 25v,
"C24, C25",0603,2,22uF 16v,
"C26, C30, C31, C34, C39, C4, C46, C9",0201,8,100nF 10v,
"C3, C33",0201,2,100nF 25v,
C32,0603,1,1uF 10v,
D1,0805,1,LED blue,
"D10, D5, D6, D7, D8, D9",B5819WS_SOD-323,6,D_Schottky C7420331,
D2,0805,1,LED green,
D3,0805,1,LED red,
D4,TO-277_3P-L5.4-W4.0-LS6.5-TR,1,Schottky_SB1045L_C908747,
J1,USB-C-SMD_TYPEC-303-ACP16,1,USB4520-03-0-A_REVA,
J11,CONN-TH_XT30PW-M,1,xt30,
"J12, J5, J9",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
"J13, J15",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,2,I2C_STANDARDQWIIC,
"J16, J18",JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,2,BM05B-SRSS-TB_LF__SN_,
"J2, J3",SW_SPST_TL3342,2,C2886897,
"J4, J7",PinSocket_2x20_P2.54mm_Vertical_SMD,2,Conn_02x20_Odd_Even,
"J6, J8",3 phase motor,2,DNP,
L1,IND-SMD_L6.6-W6.4_CKSTT0610,1,2.2uH 12.7mOhm C5440776,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",AP30H80Q_DFN-8,12,AP30H80Q,
"R1, R2, R3, R46, R49, R50",0402,6,1k,
"R10, R11, R12, R13, R14, R15, R20, R21, R22, R23, R26, R27",0402,12,2R2,
R16,0402,1,102k,
R17,0402,1,36.5k,
"R18, R24",0402,2,53.6k,
R19,0402,1,3.92k,
R25,0402,1,10k,
"R30, R31, R32, R33, R4, R5, R8, R9",0402,8,5k1,
"R38, R39",0402,2,2k,
"R6, R7",0402,2,0,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U10,LIS3MDLTR_LGA-12,1,LIS3MDLTR,
U11,LSM6DSOTR_LGA-14,1,LSM6DS3TR,
U2,SOT-666,1,USBLC6-2P6,
"U3, U4",FD6288Q_QFN-24,2,FD6288,
U6,VQFN-14_L3.5-W3.5-P0.50-TL-EP_TPS54622RHLT,1,TPS54620RHLR,
U8,SOT-223-3_TabPin2,1,AMS1117-3.3,
