Designator,Footprint,Quantity,Value,LCSC Part #
"C1_3, C1_2, C1",0201,3,68pf 10v,
"C10_3, C10_2, C10, C11_3, C11_2, C11, C12_3, C12_2, C12, C13_3, C13_2, C13, C14_3, C14_2, C14, C21_3, C21_2, C21, C27_3, C27_2, C27, C28_3, C28_2, C28, C35_3, C35_2, C35, C36_3, C36_2, C36, C37_3, C37_2, C37, C38_3, C38_2, C38, C40_3, C40_2, C40, C41_3, C41_2, C41, C42_3, C42_2, C42, C43_3, C43_2, C43, C44_3, C44_2, C44, C45_3, C45_2, C45, C47_3, C47_2, C47, C48_3, C48_2, C48, C5_3, C5_2, C5, C6_3, C6_2, C6, C7_3, C7_2, C7, C8_3, C8_2, C8",0402,72,22uF 10v,
"C15_3, C15_2, C15, C2_3, C2_2, C2",0805,6,4.7uF 1mOhm 25v,
"C16_3, C16_2, C16",CP_Elec_10x10.5,3,470uF 35V,
"C17_3, C17_2, C17",0603,3,4.7uF 1mOhm,
"C18_3, C18_2, C18",0201,3,2.2nF 0Ohm,
"C19_3, C19_2, C19",0805,3,4.7uF 1mOhm,
"C20_3, C20_2, C20",0201,3,6.8nf 10v,
"C22_3, C22_2, C22",0402,3,100nf 280mOhm,
"C23_3, C23_2, C23",1210,3,47uF 3mOhm 25v,
"C24_3, C24_2, C24, C25_3, C25_2, C25",0603,6,22uF 16v,
"C26_3, C26_2, C26, C30_3, C30_2, C30, C31_3, C31_2, C31, C34_3, C34_2, C34, C39_3, C39_2, C39, C4_3, C4_2, C4, C46_3, C46_2, C46, C9_3, C9_2, C9",0201,24,100nF 10v,
"C3_3, C3_2, C3, C33_3, C33_2, C33",0201,6,100nF 25v,
"C32_3, C32_2, C32",0603,3,1uF 10v,
"D1_3, D1_2, D1",0805,3,LED blue,
"D10_3, D10_2, D10, D5_3, D5_2, D5, D6_3, D6_2, D6, D7_3, D7_2, D7, D8_3, D8_2, D8, D9_3, D9_2, D9",B5819WS_SOD-323,18,D_Schottky C7420331,
"D2_3, D2_2, D2",0805,3,LED green,
"D3_3, D3_2, D3",0805,3,LED red,
"D4_3, D4_2, D4",TO-277_3P-L5.4-W4.0-LS6.5-TR,3,Schottky_SB1045L_C908747,
"J1_3, J1_2, J1",USB-C-SMD_TYPEC-303-ACP16,3,USB4520-03-0-A_REVA,
"J11_3, J11_2, J11",CONN-TH_XT30PW-M,3,xt30,
"J13_3, J13_2, J13, J15_3, J15_2, J15",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,6,I2C_STANDARDQWIIC,
"J16_3, J16_2, J16, J18_3, J18_2, J18",JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,6,BM05B-SRSS-TB_LF__SN_,
"J2_3, J2_2, J2, J3_3, J3_2, J3",SW_SPST_TL3342,6,C2886897,
"J4_3, J4_2, J4, J7_3, J7_2, J7",PinSocket_2x20_P2.54mm_Vertical_SMD,6,Conn_02x20_Odd_Even,
"KIKIT_FID_B_1, KIKIT_FID_B_2, KIKIT_FID_B_3, KIKIT_FID_B_4, KIKIT_FID_T_1, KIKIT_FID_T_2, KIKIT_FID_T_3, KIKIT_FID_T_4",Fiducial,8,Fiducial,
"KIKIT_TO_1, KIKIT_TO_2, KIKIT_TO_3, KIKIT_TO_4",NPTH,4,NPTH,
"L1_3, L1_2, L1",IND-SMD_L6.6-W6.4_CKSTT0610,3,2.2uH 12.7mOhm C5440776,
