Designator,Mid X,Mid Y,Rotation,Layer
C1_3,63.605,-42.65,180.0,top
C1_2,205.605,-42.65,180.0,top
C1,134.605,-42.65,180.0,top
C10_3,19.75,-52.8,90.0,top
C10_2,161.75,-52.8,90.0,top
C10,90.75,-52.8,90.0,top
C11_3,19.75,-54.7,90.0,top
C11_2,161.75,-54.7,90.0,top
C11,90.75,-54.7,90.0,top
C12_3,162.75,-52.8,90.0,top
C12_2,91.75,-52.8,90.0,top
C12,20.75,-52.8,90.0,top
C13_3,162.75,-54.7,90.0,top
C13_2,20.75,-54.7,90.0,top
C13,91.75,-54.7,90.0,top
C14_3,25.63,-52.8,90.0,top
C14_2,96.63,-52.8,90.0,top
C14,167.63,-52.8,90.0,top
C15_3,129.265,-49.69,270.0,top
C15_2,58.265,-49.69,270.0,top
C15,200.265,-49.69,270.0,top
C16_3,105.05,-43.15,180.0,top
C16_2,34.05,-43.15,180.0,top
C16,176.05,-43.15,180.0,top
C17_3,62.085,-48.15,90.0,top
C17_2,133.085,-48.15,90.0,top
C17,204.085,-48.15,90.0,top
C18_3,203.9615,-43.75,0.0,top
C18_2,61.9615,-43.75,0.0,top
C18,132.9615,-43.75,0.0,top
C19_3,127.265,-49.69,270.0,top
C19_2,198.265,-49.69,270.0,top
C19,56.265,-49.69,270.0,top
C2_3,60.265,-49.69,270.0,top
C2_2,202.265,-49.69,270.0,top
C2,131.265,-49.69,270.0,top
C20_3,134.585,-43.75,180.0,top
C20_2,205.585,-43.75,180.0,top
C20,63.585,-43.75,180.0,top
C21_3,167.63,-54.7,90.0,top
C21_2,96.63,-54.7,90.0,top
C21,25.63,-54.7,90.0,top
C22_3,198.8,-43.3,270.0,top
C22_2,56.8,-43.3,270.0,top
C22,127.8,-43.3,270.0,top
C23_3,120.2,-30.8,180.0,top
C23_2,49.2,-30.8,180.0,top
C23,191.2,-30.8,180.0,top
C24_3,118.6,-27.7,90.0,top
C24_2,47.6,-27.7,90.0,top
C24,189.6,-27.7,90.0,top
C25_3,108.0,-28.5,90.0,top
C25_2,37.0,-28.5,90.0,top
C25,179.0,-28.5,90.0,top
C26_3,101.35,-51.65,180.0,top
C26_2,30.35,-51.65,180.0,top
C26,172.35,-51.65,180.0,top
C27_3,97.63,-52.8,90.0,top
C27_2,168.63,-52.8,90.0,top
C27,26.63,-52.8,90.0,top
C28_3,168.63,-54.7,90.0,top
C28_2,97.63,-54.7,90.0,top
C28,26.63,-54.7,90.0,top
C3_3,112.7,-44.25,180.0,top
C3_2,183.7,-44.25,180.0,top
C3,41.7,-44.25,180.0,top
C30_3,117.5,-17.8625,180.0,top
C30_2,46.5,-17.8625,180.0,top
C30,188.5,-17.8625,180.0,top
C31_3,124.5,-19.2,270.0,top
C31_2,53.5,-19.2,270.0,top
C31,195.5,-19.2,270.0,top
C32_3,44.7284,-18.0584,90.0,top
C32_2,186.7284,-18.0584,90.0,top
C32,115.7284,-18.0584,90.0,top
C33_3,47.225,-39.2,180.0,top
C33_2,189.225,-39.2,180.0,top
C33,118.225,-39.2,180.0,top
C34_3,109.5,-51.55,180.0,top
C34_2,38.5,-51.55,180.0,top
C34,180.5,-51.55,180.0,top
C35_3,34.3,-52.767501,90.0,top
C35_2,176.3,-52.767501,90.0,top
C35,105.3,-52.767501,90.0,top
C36_3,34.3,-54.6675,90.0,top
C36_2,176.3,-54.6675,90.0,top
C36,105.3,-54.6675,90.0,top
C37_3,177.3,-52.767501,90.0,top
C37_2,35.3,-52.767501,90.0,top
C37,106.3,-52.767501,90.0,top
C38_3,35.3,-54.6675,90.0,top
C38_2,177.3,-54.6675,90.0,top
C38,106.3,-54.6675,90.0,top
C39_3,186.8,-51.85,180.0,top
C39_2,115.8,-51.85,180.0,top
C39,44.8,-51.85,180.0,top
C4_3,159.625,-51.75,180.0,top
C4_2,88.625,-51.75,180.0,top
C4,17.625,-51.75,180.0,top
C40_3,185.1,-51.55,0.0,top
C40_2,114.1,-51.55,0.0,top
C40,43.1,-51.55,0.0,top
C41_3,111.200001,-54.6725,90.0,top
C41_2,40.200001,-54.6725,90.0,top
C41,182.200001,-54.6725,90.0,top
C42_3,112.2,-52.845,90.0,top
C42_2,41.2,-52.845,90.0,top
C42,183.2,-52.845,90.0,top
C43_3,112.2,-54.6725,90.0,top
C43_2,183.2,-54.6725,90.0,top
C43,41.2,-54.6725,90.0,top
C44_3,119.45,-51.575,0.0,top
C44_2,190.45,-51.575,0.0,top
C44,48.45,-51.575,0.0,top
C45_3,46.08,-54.672499,90.0,top
C45_2,117.08,-54.672499,90.0,top
C45,188.08,-54.672499,90.0,top
C46_3,192.15,-51.7,180.0,top
C46_2,50.15,-51.7,180.0,top
C46,121.15,-51.7,180.0,top
C47_3,118.08,-52.7725,90.0,top
C47_2,47.08,-52.7725,90.0,top
C47,189.08,-52.7725,90.0,top
C48_3,118.08,-54.672499,90.0,top
C48_2,47.08,-54.672499,90.0,top
C48,189.08,-54.672499,90.0,top
C5_3,155.85,-52.795,90.0,top
C5_2,13.85,-52.795,90.0,top
C5,84.85,-52.795,90.0,top
C6_3,84.85,-54.695,90.0,top
C6_2,155.85,-54.695,90.0,top
C6,13.85,-54.695,90.0,top
C7_3,156.85,-52.795,90.0,top
C7_2,85.85,-52.795,90.0,top
C7,14.85,-52.795,90.0,top
C8_3,85.85,-54.695,90.0,top
C8_2,156.85,-54.695,90.0,top
C8,14.85,-54.695,90.0,top
C9_3,166.0,-51.7,180.0,top
C9_2,95.0,-51.7,180.0,top
C9,24.0,-51.7,180.0,top
D1_3,10.5125,-51.1,180.0,top
D1_2,81.5125,-51.1,180.0,top
D1,152.5125,-51.1,180.0,top
D10_3,120.91,-49.6,90.0,top
D10_2,49.91,-49.6,90.0,top
D10,191.91,-49.6,90.0,top
D2_3,152.5125,-53.25,180.0,top
D2_2,10.5125,-53.25,180.0,top
D2,81.5125,-53.25,180.0,top
D3_3,152.5125,-55.4,180.0,top
D3_2,10.5125,-55.4,180.0,top
D3,81.5125,-55.4,180.0,top
D4_3,53.92,-29.9685,0.0,top
D4_2,195.92,-29.9685,0.0,top
D4,124.92,-29.9685,0.0,top
D5_3,19.1,-50.7,0.0,top
D5_2,90.1,-50.7,0.0,top
D5,161.1,-50.7,0.0,top
D6_3,164.5,-50.7,180.0,top
D6_2,22.5,-50.7,180.0,top
D6,93.5,-50.7,180.0,top
D7_3,27.82,-51.08,180.0,top
D7_2,98.82,-51.08,180.0,top
D7,169.82,-51.08,180.0,top
D8_3,178.85,-50.7,180.0,top
D8_2,107.85,-50.7,180.0,top
D8,36.85,-50.7,180.0,top
D9_3,117.12,-50.76,0.0,top
D9_2,188.12,-50.76,0.0,top
D9,46.12,-50.76,0.0,top
J1_3,140.075315,-25.542881,90.0,top
J1_2,69.075315,-25.542881,90.0,top
J1,211.075315,-25.542881,90.0,top
J11_3,91.0365,-44.3,270.0,top
J11_2,20.0365,-44.3,270.0,top
J11,162.0365,-44.3,270.0,top
J13_3,69.975,-43.55,270.0,top
J13_2,140.975,-43.55,270.0,top
J13,211.975,-43.55,270.0,top
J15_3,69.975,-51.932,270.0,top
J15_2,140.975,-51.932,270.0,top
J15,211.975,-51.932,270.0,top
J16_3,104.15,-61.7,180.0,top
J16_2,175.15,-61.7,180.0,top
J16,33.15,-61.7,180.0,top
J18_3,200.9,-61.7,180.0,top
J18_2,129.9,-61.7,180.0,top
J18,58.9,-61.7,180.0,top
J2_3,134.0,-35.0,90.0,top
J2_2,63.0,-35.0,90.0,top
J2,205.0,-35.0,90.0,top
J3_3,211.2,-35.0,270.0,top
J3_2,140.2,-35.0,270.0,top
J3,69.2,-35.0,270.0,top
J4_3,40.74489,-11.992132,90.0,top
J4_2,111.74489,-11.992132,90.0,top
J4,182.74489,-11.992132,90.0,top
J7_3,182.75,-12.02,270.0,bottom
J7_2,111.75,-12.02,270.0,bottom
J7,40.75,-12.02,270.0,bottom
KIKIT_FID_B_1,15.0,-2.0,180.0,bottom
KIKIT_FID_B_2,208.0,-2.0,180.0,bottom
KIKIT_FID_B_3,15.0,-70.0,180.0,bottom
KIKIT_FID_B_4,208.0,-70.0,180.0,bottom
KIKIT_FID_T_1,15.0,-2.0,0.0,top
KIKIT_FID_T_2,208.0,-2.0,0.0,top
KIKIT_FID_T_3,15.0,-70.0,0.0,top
KIKIT_FID_T_4,208.0,-70.0,0.0,top
KIKIT_TO_1,3.0,-3.0,0.0,top
KIKIT_TO_2,220.0,-3.0,0.0,top
KIKIT_TO_3,3.0,-69.0,0.0,top
KIKIT_TO_4,220.0,-69.0,0.0,top
L1_3,127.1,-37.9,90.0,top
L1_2,56.1,-37.9,90.0,top
L1,198.1,-37.9,90.0,top
Q1_3,88.0005,-54.09,0.0,top
Q1_2,17.0005,-54.09,0.0,top
Q1,159.0005,-54.09,0.0,top
Q10_3,113.26,-57.343,270.0,top
Q10_2,184.26,-57.343,270.0,top
